PATH	REFERENCES	FILES
/opt/franzfon	124	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/build-release.sh,/opt/franzfon/scripts/motd-banner.sh,/opt/franzfon/scripts/post-reset-setup.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/scripts/release-scrub.sh,/opt/franzfon/wizard/backend/scripts/install-local-llm.py,/opt/franzfon/wizard/backend/src/routes/aufnahmen.js,/opt/franzfon/wizard/backend/src/routes/system.js,/opt/franzfon/wizard/backend/src/services/call-flow-transpiler.js,/opt/franzfon/wizard/backend/src/services/local-llm-provider.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/support-report.js,/usr/local/sbin/franzfon-firstboot.sh
/var/spool/asterisk	65	/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/wizard/backend/src/routes/voicemail.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/call-flow-transpiler.js,/opt/franzfon/wizard/backend/src/services/fax.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/recordings.js,/opt/franzfon/wizard/backend/src/services/smtp.js,/opt/franzfon/wizard/backend/src/services/transcription-worker.js,/opt/franzfon/wizard/backend/src/services/websocket.js
/etc/asterisk	57	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/post-reset-setup.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/wizard/backend/src/services/ami-config.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/fax.js,/opt/franzfon/wizard/backend/src/services/fritzbox.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/queue.js,/opt/franzfon/wizard/backend/src/services/support-report.js
/var/lib/asterisk	34	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/post-reset-setup.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/wizard/backend/src/routes/call-filter.js,/opt/franzfon/wizard/backend/src/routes/holdmusic.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/call-flow-transpiler.js,/opt/franzfon/wizard/backend/src/services/ivr.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/recording-consent.js,/opt/franzfon/wizard/backend/src/services/sound-assets.js,/opt/franzfon/wizard/backend/src/services/sounds.js
/var/log/asterisk	22	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/wizard/backend/src/services/disk-maintenance.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/support-report.js
/etc/systemd/system	11	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/release-scrub.sh,/opt/franzfon/wizard/backend/src/services/pbx.js
/run/asterisk	6	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/wizard/backend/src/routes/selfheal.js,/opt/franzfon/wizard/backend/src/services/pbx.js
/etc/freepbx.conf	1	/opt/franzfon/scripts/prepare-iso.sh
/etc/amportal.conf	1	/opt/franzfon/scripts/prepare-iso.sh
