SCANNED_FILES=133
COMMAND	REFERENCES	FILES
journalctl	8	/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/wizard/backend/src/services/disk-maintenance.js,/opt/franzfon/wizard/backend/src/services/support-report.js
tar	7	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/build-release.sh,/opt/franzfon/wizard/backend/src/routes/system.js
/usr/sbin/asterisk	6	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/wizard/backend/src/services/pbx.js
curl	6	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/wizard/backend/agi/fax-posthook.sh,/opt/franzfon/wizard/backend/agi/wakeup.sh,/opt/franzfon/wizard/backend/src/services/support-report.js
convert	5	/opt/franzfon/scripts/build-release.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/wizard/backend/src/services/platform.js,/opt/franzfon/wizard/backend/src/services/user-avatars.js
/usr/sbin/nologin	4	/opt/franzfon/scripts/release-scrub.sh,/usr/local/sbin/franzfon-firstboot.sh
fwconsole	4	/opt/franzfon/scripts/prepare-iso.sh
sox	3	/opt/franzfon/wizard/backend/src/index.js,/opt/franzfon/wizard/backend/src/services/ivr.js,/opt/franzfon/wizard/backend/src/services/sounds.js
/usr/local/sbin/franzfon-firstboot.sh	3	/opt/franzfon/scripts/release-scrub.sh
ss	3	/opt/franzfon/scripts/apply-update.sh
ffprobe	1	/opt/franzfon/wizard/backend/src/services/audio-chunker.js
mysqldump	1	/opt/franzfon/wizard/backend/src/services/backup.js
/usr/bin/convert	1	/opt/franzfon/wizard/backend/src/services/user-avatars.js
/bin/sh	1	/opt/franzfon/wizard/backend/src/services/pbx.js
mariadb	1	/opt/franzfon/wizard/backend/src/services/support-report.js
shutdown	1	/opt/franzfon/scripts/build-release.sh
/usr/sbin/fwconsole	1	/opt/franzfon/scripts/prepare-iso.sh
/bin/false	1	/opt/franzfon/scripts/prepare-iso.sh
